CustomerID,Recency,Frequency,Monetary,RFM_Level
12664,87,3,320.4,Can't Loose Them
12668,259,1,35.4,Needs Attention
12669,150,3,1170.3,Can't Loose Them
12670,98,3,108.3,Can't Loose Them
12674,91,3,150.66,Can't Loose Them
12676,70,4,100.2,Can't Loose Them
12678,78,7,644.08,Can't Loose Them
12679,87,3,166.32,Can't Loose Them
12680,73,3,41.76,Can't Loose Them
12681,77,10,224,Can't Loose Them
12682,81,17,696.55,Can't Loose Them
12683,92,9,240,Can't Loose Them
12684,170,4,92.4,Can't Loose Them
12685,75,3,55,Can't Loose Them
12688,113,1,75,Loyal
12689,127,1,10,Needs Attention
12690,205,1,24.96,Needs Attention
12691,145,1,19.8,Promising
12693,127,3,57.94,Champions
12694,70,2,20.28,Champions
12695,107,2,36.15,Champions
12697,131,2,160,Champions
12700,156,2,40.6,Loyal
12701,79,2,32.4,Champions
12703,71,1,6.8,Potential
12704,78,4,74.1,Can't Loose Them
12705,77,4,69.48,Can't Loose Them
12708,72,6,113.65,Can't Loose Them
12709,71,9,297.3,Can't Loose Them
12710,96,3,35.08,Champions
12712,106,7,436.15,Can't Loose Them
12714,106,3,43.48,Can't Loose Them
12715,106,1,12.5,Promising
12716,133,1,13.2,Needs Attention
12717,151,2,30,Potential
12718,71,1,9.36,Potential
12720,80,14,264.78,Can't Loose Them
12721,79,3,45.8,Can't Loose Them
12722,85,4,52.71,Can't Loose Them
12724,81,2,39.9,Can't Loose Them
12726,86,4,101.22,Can't Loose Them
12727,95,4,129.72,Can't Loose Them
12728,71,2,44.74,Can't Loose Them
12729,113,1,25.2,Potential
12731,70,8,654.6,Can't Loose Them
12732,179,1,33.2,Promising
12733,234,1,27.65,Needs Attention
12739,78,2,57.3,Can't Loose Them
12743,134,2,18.25,Potential
12744,144,4,2455.97,Can't Loose Them
12747,109,5,191.85,Can't Loose Them
12748,70,96,1054.43,Can't Loose Them
12749,130,3,67,Champions
12750,128,1,15,Needs Attention
12752,81,1,15.9,Potential
12753,135,3,346.02,Can't Loose Them
12754,235,2,124.21,Loyal
12755,280,1,5.95,Require Activation
12756,86,1,61.2,Loyal
12757,142,7,3646.95,Can't Loose Them
12758,116,2,90.06,Champions
12759,171,2,39,Loyal
12763,138,1,87,Potential
12766,149,2,42.36,Loyal
12769,238,1,175.2,Potential
12770,210,1,69.12,Promising
12775,189,3,77.1,Loyal
12778,183,3,68.4,Loyal
12779,189,4,109.3,Can't Loose Them
12782,149,2,28.52,Potential
12783,75,1,14.94,Potential
12787,91,2,61.8,Champions
12790,192,1,10.08,Require Activation
12792,256,1,15,Require Activation
12794,98,1,17.4,Potential
12798,170,1,515.52,Loyal
12802,186,1,13,Require Activation
12808,184,1,15.3,Require Activation
12809,177,1,17.7,Promising
12811,260,2,42,Potential
12814,101,1,85.92,Loyal
12815,147,2,35.25,Potential
12816,95,2,35.55,Loyal
12817,281,1,39.6,Promising
12818,261,1,302.4,Potential
12820,74,1,15,Potential
12821,214,1,19.92,Needs Attention
12822,70,2,30.8,Champions
12823,74,3,1224,Can't Loose Them
12826,71,2,37.3,Can't Loose Them
12828,99,3,74.1,Can't Loose Them
12830,91,5,1556.64,Can't Loose Them
12831,262,1,34.2,Needs Attention
12832,98,1,17,Potential
12833,145,1,15,Needs Attention
12834,282,1,15.9,Require Activation
12836,137,2,18.6,Potential
12837,173,1,17,Promising
12839,71,7,77.9,Can't Loose Them
12840,143,4,138.6,Can't Loose Them
12841,89,10,193.17,Can't Loose Them
12842,70,1,15,Potential
12843,159,7,113.25,Can't Loose Them
12844,130,1,4.95,Needs Attention
12845,267,3,283.55,Champions
12849,268,1,34.8,Needs Attention
12851,96,1,4.16,Promising
12853,134,5,187.2,Can't Loose Them
12854,78,2,151.7,Can't Loose Them
12857,210,1,35.7,Needs Attention
12864,138,1,17.4,Promising
12865,123,1,6.64,Needs Attention
12866,283,1,6.3,Require Activation
12867,96,4,32.35,Can't Loose Them
12868,185,3,69.2,Loyal
12871,84,2,178.2,Can't Loose Them
12873,282,1,68,Promising
12875,143,1,49.47,Potential
12876,196,1,20.8,Needs Attention
12877,78,7,170.14,Can't Loose Them
12878,236,2,45,Potential
12879,81,2,183.6,Can't Loose Them
12881,275,1,195,Potential
12883,89,1,17.85,Potential
12884,88,1,170,Champions
12885,123,1,19.8,Promising
12886,219,1,17,Needs Attention
12888,214,2,106.56,Loyal
12891,185,2,289,Loyal
12895,86,1,19.8,Potential
12897,204,1,58,Promising
12901,81,20,5915.66,Can't Loose Them
12902,264,1,17.7,Needs Attention
12904,172,1,9.95,Needs Attention
12906,78,2,79.2,Can't Loose Them
12908,176,1,432,Loyal
12909,87,4,107.16,Can't Loose Them
12910,78,5,245.46,Can't Loose Them
12913,282,1,15.3,Require Activation
12915,148,1,23.4,Promising
12916,138,3,171.5,Can't Loose Them
12917,128,1,297,Loyal
12919,116,3,167.8,Can't Loose Them
12921,84,20,542.1,Can't Loose Them
12922,161,1,13.2,Needs Attention
12924,88,3,162.67,Can't Loose Them
12925,74,1,10.2,Potential
12928,147,2,66.8,Loyal
12930,78,2,25.2,Champions
12931,101,8,1607.62,Can't Loose Them
12933,171,2,57.45,Loyal
12935,109,3,46.95,Can't Loose Them
12936,78,1,34.68,Loyal
12937,71,3,37.1,Can't Loose Them
12939,79,4,916.64,Can't Loose Them
12940,87,1,17,Potential
12942,131,2,25.35,Potential
12947,143,4,99.1,Can't Loose Them
12948,105,4,131.3,Can't Loose Them
12949,114,7,98.96,Can't Loose Them
12951,173,3,62.04,Champions
12952,78,1,14.85,Potential
12955,92,6,135.84,Can't Loose Them
12957,71,5,75.36,Can't Loose Them
12962,113,1,19.8,Potential
12963,84,1,15,Potential
12965,89,1,8.25,Promising
12968,112,1,15,Promising
12971,73,50,2395.5,Can't Loose Them
12974,197,1,15.9,Require Activation
12976,211,1,19.8,Needs Attention
12977,156,1,8.5,Needs Attention
12980,157,5,2041.92,Can't Loose Them
12981,133,1,34.68,Promising
12982,242,1,10.4,Require Activation
12987,73,2,37.2,Can't Loose Them
12989,88,6,1121.4,Can't Loose Them
12990,185,1,41.6,Promising
12991,112,1,42.5,Loyal
12993,120,2,36.25,Loyal
12994,120,2,35.7,Potential
12995,85,1,38.16,Champions
12997,88,2,61.6,Champions
12999,196,3,107.04,Champions
13000,106,2,91.17,Champions
13001,158,7,717.12,Can't Loose Them
13003,105,3,98.5,Can't Loose Them
13004,77,8,114.96,Can't Loose Them
13005,173,2,37.3,Loyal
13012,78,4,95.79,Can't Loose Them
13013,92,7,147.7,Can't Loose Them
13014,74,6,217.3,Can't Loose Them
13015,197,4,98.7,Can't Loose Them
13016,73,3,64.56,Can't Loose Them
13018,72,19,378.78,Can't Loose Them
13021,70,5,121.6,Can't Loose Them
13023,129,1,15.9,Needs Attention
13026,92,3,194.16,Can't Loose Them
13027,113,5,1344,Can't Loose Them
13029,138,1,299.4,Loyal
13032,87,1,2.5,Promising
13035,73,2,117,Can't Loose Them
13037,138,3,38.4,Champions
13038,80,2,117,Can't Loose Them
13043,273,1,59.8,Promising
13045,99,1,17.4,Potential
13046,266,1,14.75,Require Activation
13047,127,4,74.15,Can't Loose Them
13048,113,2,32.1,Loyal
13050,106,6,94.35,Can't Loose Them
13052,212,1,23.85,Needs Attention
13055,78,3,43.08,Can't Loose Them
13058,151,1,16.35,Needs Attention
13059,249,1,17.7,Needs Attention
13060,253,1,35.4,Needs Attention
13061,72,1,9.96,Potential
13062,191,1,60.48,Promising
13064,88,2,45.8,Champions
13067,82,1,7.95,Potential
13069,99,14,201.63,Can't Loose Them
13070,192,1,20.8,Needs Attention
13072,266,1,15,Require Activation
13075,129,1,47.2,Potential
13078,82,12,748.54,Can't Loose Them
13079,75,3,154.7,Can't Loose Them
13080,179,1,3.36,Needs Attention
13081,143,3,44.46,Champions
13082,126,8,154.2,Can't Loose Them
13083,75,1,17,Loyal
13085,157,1,17,Promising
13089,70,54,2427.14,Can't Loose Them
13090,136,4,237.4,Can't Loose Them
13092,70,4,57.25,Can't Loose Them
13093,275,1,40.8,Promising
13094,80,7,505.74,Can't Loose Them
13095,70,1,9.36,Potential
13097,77,6,197.01,Can't Loose Them
13098,87,17,946.6,Can't Loose Them
13099,99,1,207.36,Champions
13101,234,1,9.95,Require Activation
13102,81,13,243.88,Can't Loose Them
13104,85,3,232.92,Can't Loose Them
13106,133,1,76.5,Potential
13107,85,2,94.56,Can't Loose Them
13109,157,1,10.5,Needs Attention
13110,137,4,54.04,Can't Loose Them
13113,113,15,2256.15,Can't Loose Them
13115,184,1,7.8,Require Activation
13116,138,1,25.5,Promising
13117,121,4,57.7,Can't Loose Them
13118,208,2,91.3,Potential
13120,238,1,30.6,Needs Attention
13121,269,1,7.65,Require Activation
13122,94,2,48.57,Champions
13124,89,2,18.6,Loyal
13126,72,3,53.1,Can't Loose Them
13127,77,1,34.68,Loyal
13130,94,1,39,Loyal
13131,71,2,36.4,Can't Loose Them
13132,261,1,15.3,Require Activation
13133,273,1,9.95,Require Activation
13134,85,4,125.04,Can't Loose Them
13135,196,1,3096,Potential
13136,87,4,91.9,Can't Loose Them
13137,92,4,12.57,Champions
13138,80,3,41.12,Can't Loose Them
13139,72,4,167.02,Can't Loose Them
13140,108,2,33.9,Loyal
13141,84,3,52.4,Can't Loose Them
13145,91,2,163.8,Can't Loose Them
13147,99,1,118.8,Champions
13148,133,6,97.6,Can't Loose Them
13149,106,2,25.14,Loyal
13155,79,1,10.5,Potential
13157,141,2,29,Potential
13158,94,3,65.1,Can't Loose Them
13159,106,2,23.25,Loyal
13162,122,3,27.03,Loyal
13166,283,1,2.5,Require Activation
13167,130,2,59.66,Loyal
13168,199,1,12.75,Require Activation
13169,252,1,15.6,Require Activation
13178,73,7,187.2,Can't Loose Them
13183,86,6,85.7,Can't Loose Them
13184,130,8,56.4,Can't Loose Them
13185,267,1,71.4,Promising
13186,93,2,44.88,Champions
13189,115,1,4,Promising
13192,95,2,41.1,Champions
13194,135,1,34,Promising
13196,84,2,50.25,Can't Loose Them
13198,120,3,61.5,Champions
13199,92,14,1238.8,Can't Loose Them
13200,74,2,35.4,Champions
13203,120,2,32.4,Potential
13207,150,1,35.4,Promising
13208,155,3,45.55,Champions
13209,128,3,79.5,Champions
13210,93,1,25.5,Potential
13211,95,1,10.5,Promising
13213,128,4,127.3,Can't Loose Them
13216,267,1,69.12,Promising
13217,122,3,294.94,Can't Loose Them
13218,127,1,15,Needs Attention
13220,78,4,344.1,Can't Loose Them
13221,240,1,8.5,Require Activation
13223,200,2,115.8,Loyal
13224,151,1,8.82,Needs Attention
13225,143,3,702,Can't Loose Them
13226,273,1,9.95,Require Activation
13227,201,1,67.5,Promising
13228,81,1,179,Can't Loose Them
13229,225,1,15,Require Activation
13230,138,8,39.73,Can't Loose Them
13232,98,5,41.75,Can't Loose Them
13233,74,1,14.04,Potential
13235,212,1,19.8,Needs Attention
13236,106,1,31.9,Potential
13238,163,1,15,Needs Attention
13239,261,1,18.96,Needs Attention
13240,96,3,31.6,Champions
13242,112,3,62.4,Can't Loose Them
13243,203,1,5.1,Require Activation
13244,92,1,4.95,Promising
13246,176,2,19,Potential
13247,82,1,29.7,Loyal
13248,124,2,33.36,Potential
13249,92,3,302.04,Can't Loose Them
13253,156,1,27.36,Promising
13258,205,1,5.95,Require Activation
13261,268,1,99,Potential
13262,263,1,6.96,Require Activation
13263,70,24,137.43,Can't Loose Them
13265,88,4,136.48,Can't Loose Them
13266,75,9,227.48,Can't Loose Them
13267,92,12,195.96,Can't Loose Them
13268,84,7,39.72,Can't Loose Them
13269,88,7,162.95,Can't Loose Them
13272,89,1,18.96,Potential
13273,113,1,24.9,Potential
13276,99,1,41.6,Loyal
13277,116,2,74.5,Champions
13279,78,1,9.36,Potential
13280,122,1,16.5,Needs Attention
13282,162,2,121.5,Champions
13283,185,1,8.5,Require Activation
13285,161,2,36.45,Loyal
13291,155,1,12.45,Needs Attention
13294,189,2,42,Potential
13296,137,1,15,Needs Attention
13299,268,1,29.7,Needs Attention
13300,169,1,23,Promising
13301,103,3,34.92,Champions
13302,155,1,63.75,Potential
13305,92,6,123.39,Can't Loose Them
13307,120,1,15,Needs Attention
13308,203,1,15,Require Activation
13309,88,2,25.84,Loyal
13310,206,1,10.2,Require Activation
13311,150,1,5.04,Needs Attention
13313,141,2,22.44,Potential
13314,73,1,19.8,Loyal
13316,79,3,408.72,Can't Loose Them
13317,198,3,90.4,Loyal
13319,91,12,312.7,Can't Loose Them
13320,78,4,47.3,Can't Loose Them
13321,72,2,259.04,Can't Loose Them
13323,84,1,29.7,Loyal
13324,89,7,541.8,Can't Loose Them
13325,81,1,16.5,Potential
13327,112,4,227.8,Can't Loose Them
13330,92,2,42.36,Champions
13334,82,2,37.3,Can't Loose Them
13336,77,1,15.3,Potential
13338,157,1,10.2,Needs Attention
13339,200,1,17.4,Needs Attention
13340,105,5,639.08,Can't Loose Them
13341,260,1,87.6,Promising
13343,177,1,19.8,Promising
13344,277,1,59.8,Promising
13347,70,1,39.6,Champions
13350,79,1,15.9,Potential
13354,71,1,10.5,Potential
13355,122,1,17.7,Promising
13356,80,1,17.4,Loyal
13357,257,1,9.9,Require Activation
13358,268,1,17.9,Needs Attention
13362,245,1,19.5,Needs Attention
13364,71,1,24.96,Loyal
13365,217,1,51,Promising
13368,256,1,10.08,Require Activation
13372,89,1,9.95,Promising
13373,158,2,30.9,Potential
13375,88,1,16.5,Promising
13376,99,3,65.7,Can't Loose Them
13379,136,1,5.04,Needs Attention
13381,89,4,99.68,Can't Loose Them
13382,280,1,15,Require Activation
13384,73,5,100.4,Can't Loose Them
13388,131,2,26.1,Potential
13389,74,2,20.16,Champions
13390,74,1,15,Potential
13391,203,1,59.8,Promising
13394,78,5,76.77,Can't Loose Them
13395,185,1,1.92,Require Activation
13397,72,3,262.6,Can't Loose Them
13398,192,1,9.96,Require Activation
13402,127,1,17,Promising
13404,212,1,15,Require Activation
13405,74,2,40.5,Can't Loose Them
13408,75,37,2913.74,Can't Loose Them
13410,74,3,103.4,Can't Loose Them
13411,107,1,18.75,Potential
13414,133,2,64.65,Loyal
13416,81,1,29.7,Loyal
13417,205,1,23.8,Needs Attention
13418,84,11,155.25,Can't Loose Them
13420,149,2,34.2,Potential
13425,108,2,31.5,Loyal
13426,89,4,131.6,Can't Loose Them
13427,120,2,25.5,Potential
13429,75,1,25.2,Loyal
13430,86,1,4.56,Promising
13431,88,1,30,Potential
13434,74,2,187.08,Can't Loose Them
13435,75,4,177.69,Can't Loose Them
13437,99,4,62.22,Can't Loose Them
13439,255,1,6.5,Require Activation
13441,91,1,12.6,Promising
13448,80,2,13.05,Loyal
13450,89,5,100.56,Can't Loose Them
13451,126,3,16.35,Potential
13452,259,2,590,Loyal
13453,165,1,19.9,Promising
13456,155,3,245.7,Can't Loose Them
13458,99,6,129.56,Can't Loose Them
13461,138,2,113.6,Champions
13462,252,1,19.8,Needs Attention
13466,184,1,17.7,Needs Attention
13468,74,21,543.11,Can't Loose Them
13470,99,2,33,Loyal
13474,236,1,1.7,Require Activation
13475,191,3,63.18,Loyal
13476,178,2,38.7,Loyal
13477,138,3,41.66,Champions
13479,200,2,50.4,Potential
13481,108,4,67.15,Can't Loose Them
13482,232,1,17.4,Needs Attention
13484,241,1,67.5,Promising
13485,233,1,12.5,Require Activation
13486,78,3,40.62,Can't Loose Them
13487,213,1,15.9,Require Activation
13488,72,8,144.14,Can't Loose Them
13489,105,2,85.8,Champions
13491,147,4,38.91,Can't Loose Them
13492,136,3,41.4,Champions
13493,275,1,99,Potential
13495,232,1,20.4,Needs Attention
13497,282,1,24.75,Needs Attention
13499,73,3,112.5,Can't Loose Them
13500,122,1,15,Needs Attention
13502,274,1,9.36,Require Activation
13503,71,1,10.5,Potential
13505,72,4,93.66,Can't Loose Them
13507,98,3,69.1,Can't Loose Them
13508,243,1,15.9,Require Activation
13509,99,4,172.6,Can't Loose Them
13510,95,2,13.54,Potential
13512,260,1,17.85,Needs Attention
13513,126,1,9.9,Needs Attention
13514,73,1,39.9,Champions
13515,72,4,80.34,Can't Loose Them
13516,72,2,50.34,Can't Loose Them
13517,106,2,34.8,Loyal
13518,85,1,19.8,Loyal
13519,78,1,11.9,Potential
13520,137,3,191.8,Can't Loose Them
13523,199,2,39.4,Potential
13524,81,4,135.6,Can't Loose Them
13525,248,1,232,Potential
13527,89,5,93.61,Can't Loose Them
13529,78,2,33.2,Champions
13531,205,1,41.6,Promising
13533,182,3,11.75,Potential
13534,107,13,233.93,Can't Loose Them
13536,75,1,10.4,Potential
13538,94,5,228.3,Can't Loose Them
13539,85,2,36.7,Can't Loose Them
13544,240,1,5.75,Require Activation
13546,200,1,25.5,Needs Attention
13548,96,2,11.05,Potential
13549,142,5,100.6,Can't Loose Them
13552,86,10,236.97,Can't Loose Them
13555,73,4,166.9,Can't Loose Them
13557,280,1,30,Needs Attention
13561,215,1,2.08,Require Activation
13562,81,3,53.65,Can't Loose Them
13563,84,2,94.35,Can't Loose Them
13564,144,1,550.64,Loyal
13566,82,1,1.25,Potential
13568,173,1,8.3,Needs Attention
13570,243,1,3.9,Require Activation
13571,92,7,58.45,Can't Loose Them
13572,205,1,17.7,Needs Attention
13573,253,1,0.42,Require Activation
13575,70,3,77.9,Can't Loose Them
13576,71,10,1218.8,Can't Loose Them
13577,92,3,53.4,Can't Loose Them
13583,155,1,9,Needs Attention
13588,86,5,55.68,Can't Loose Them
13589,179,1,14.95,Needs Attention
13590,150,3,151.06,Can't Loose Them
13591,204,2,39.42,Potential
13592,205,3,64.22,Loyal
13593,108,4,50.9,Can't Loose Them
13599,84,7,149.12,Can't Loose Them
13601,211,1,16.5,Require Activation
13606,243,1,14.95,Require Activation
13610,110,4,22.39,Can't Loose Them
13611,89,2,34.8,Loyal
13614,89,2,27.69,Loyal
13617,113,2,17.75,Loyal
13618,173,1,6.96,Needs Attention
13621,116,1,4,Promising
13623,210,3,44.2,Loyal
13626,252,1,17.4,Needs Attention
13627,79,3,57.72,Can't Loose Them
13629,99,6,912.85,Can't Loose Them
13630,75,5,357.4,Can't Loose Them
13631,99,11,3070.42,Can't Loose Them
13632,173,3,43.77,Champions
13634,86,3,23,Champions
13636,122,3,68.65,Champions
13637,187,2,2.55,Needs Attention
13639,74,1,23.4,Loyal
13642,215,1,4.25,Require Activation
13643,98,2,29.3,Loyal
13644,73,2,30.6,Champions
13645,120,1,19.9,Promising
13647,71,3,64.34,Can't Loose Them
13649,256,1,15.3,Require Activation
13650,88,3,46.5,Can't Loose Them
13652,256,1,27.04,Needs Attention
13654,145,4,114.3,Can't Loose Them
13655,114,2,45.8,Champions
13656,164,1,8.5,Needs Attention
13657,201,1,12.6,Require Activation
13658,85,3,95.08,Can't Loose Them
13659,205,1,35.95,Promising
13662,85,3,67.8,Can't Loose Them
13663,179,1,16.5,Needs Attention
13667,149,1,4.16,Needs Attention
13668,113,12,188.43,Can't Loose Them
13669,149,1,12.75,Needs Attention
13670,75,1,16.5,Potential
13675,151,1,24.96,Promising
13678,151,1,4.8,Needs Attention
13681,155,1,25.2,Promising
13682,187,1,25.5,Needs Attention
13686,182,1,8.5,Needs Attention
13692,213,2,29.9,Promising
13694,71,32,4472.68,Can't Loose Them
13695,81,13,478.73,Can't Loose Them
13699,155,1,17.7,Promising
13700,92,6,120.51,Can't Loose Them
13704,73,5,119.3,Can't Loose Them
13705,144,1,9.9,Needs Attention
13707,267,1,10.2,Require Activation
13708,271,1,4.95,Require Activation
13709,101,4,153.46,Can't Loose Them
13711,218,2,55.4,Potential
13712,246,1,15,Require Activation
13715,281,1,13.44,Require Activation
13716,269,1,7.5,Require Activation
13717,128,3,36.15,Champions
13718,246,1,25.4,Needs Attention
13719,205,2,30,Promising
13720,116,4,144.5,Can't Loose Them
13722,131,3,78.63,Champions
13723,217,1,47.2,Promising
13725,169,3,55,Champions
13726,100,1,15,Promising
13728,107,4,56.84,Can't Loose Them
13730,135,2,37.8,Loyal
13731,219,2,34.5,Promising
13735,175,2,35.7,Potential
13736,260,1,9.9,Require Activation
13737,200,1,73.95,Promising
13740,240,1,5.04,Require Activation
13741,71,3,81.85,Can't Loose Them
13742,89,8,170.55,Can't Loose Them
13743,88,6,157.2,Can't Loose Them
13744,95,1,4.68,Promising
13745,162,1,9,Needs Attention
13748,95,4,51.41,Can't Loose Them
13750,140,2,338.19,Champions
13752,124,6,203.55,Can't Loose Them
13754,151,1,17.4,Promising
13756,93,5,201.9,Can't Loose Them
13758,201,2,25.05,Promising
13759,71,1,17.4,Loyal
13760,256,1,2.95,Require Activation
13761,179,1,15.9,Needs Attention
13762,218,1,104.4,Potential
13764,70,2,26.84,Champions
13767,80,22,891.94,Can't Loose Them
13769,92,6,213.75,Can't Loose Them
13771,199,2,83.7,Potential
13772,96,2,20.2,Loyal
13774,81,1,19.8,Loyal
13777,77,13,1971.96,Can't Loose Them
13778,103,1,8.25,Promising
13780,170,1,2.08,Needs Attention
13781,250,1,4.25,Require Activation
13782,124,2,32.3,Potential
13784,94,6,464.88,Can't Loose Them
13787,75,1,5.9,Potential
13791,127,2,469,Champions
13798,72,34,4648.8,Can't Loose Them
13799,116,1,15,Promising
13802,138,2,160,Champions
13803,255,1,17.7,Needs Attention
13804,78,4,99.85,Can't Loose Them
13805,129,1,169,Loyal
13808,93,2,85.08,Champions
13811,183,3,294.75,Champions
13812,105,1,19.8,Potential
13813,70,3,53.4,Can't Loose Them
13814,92,2,30.6,Loyal
13815,172,1,62.4,Potential
